"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"ba201028.013","Bacteria",NA,2020-10-28,"NJ",1,0,"E_WW",NA,NA,3864583.33333333,1964364.62599698,1900218.70733635,NA,NA,NA,NA,NA,1.03375712406839
"ba201027.007","Bacteria",NA,2020-10-27,"NJ",2,0,"E_Conc",NA,NA,790916.666666667,464108.800926413,326807.865740253,NA,NA,NA,NA,NA,1.42012738853503
"ba201028.014","Bacteria",NA,2020-10-28,"NJ",2,0,"E_WW",NA,NA,3713750,2073468.76401974,1640281.23598026,NA,NA,NA,NA,NA,1.26409344845099
"ba201027.008","Bacteria",NA,2020-10-27,"NJ",4,0,"E_Conc",NA,NA,3302083.33333333,1576931.62894558,1725151.70438776,NA,NA,NA,NA,NA,0.914082874529122
"ba201028.015","Bacteria",NA,2020-10-28,"NJ",4,0,"E_WW",NA,NA,8649583.33333333,3988590.25302636,4660993.08030697,NA,NA,NA,NA,NA,0.8557382910261
"ba201027.009","Bacteria",NA,2020-10-27,"NJ",5,0,"E_Conc",NA,NA,1487750,703934.564134147,783815.435865853,NA,NA,NA,NA,NA,0.898087141339001
"ba201028.016","Bacteria",NA,2020-10-28,"NJ",5,0,"E_WW",NA,NA,3697083.33333333,1695260.1584798,2001823.17485354,NA,NA,NA,NA,NA,0.846858094049105
"ba201027.010","Bacteria",NA,2020-10-27,"NJ",6,0,"E_Conc",NA,NA,1421750,647363.114417951,774386.885582049,NA,NA,NA,NA,NA,0.835968592018931
"ba201028.024","Bacteria",NA,2020-10-28,"NJ",6,0,"E_WW",NA,NA,4653500,2366500,2287000,NA,NA,NA,NA,NA,1.03476169654569
"ba201028.025","Bacteria",NA,2020-10-28,"NJ",7,0,"E_WW",NA,NA,3740500,1899000,1841500,NA,NA,NA,NA,NA,1.03122454520771
"vi201028.006","Viruses",NA,2020-10-28,"NJ",1,0,"E_WW",NA,NA,4129166.66666667,2871384.43553774,1257782.23112892,215537500,180512656.25,27934369.8540419,7090473.89595808,52.1987891019173,2.2828947368421
"vi201027.006","Viruses",NA,2020-10-27,"NJ",2,0,"E_Conc",NA,NA,761250,608335.152838428,152914.847161572,32239166.6666667,27432230.7091454,4118343.62008178,688592.337439496,42.3503010399562,3.97826086956522
"vi201028.007","Viruses",NA,2020-10-28,"NJ",2,0,"E_WW",NA,NA,4595833.33333333,3188100.6006006,1407732.73273273,226895833.333333,192832776.205059,27114710.5603627,6948346.56791179,49.3699002719855,2.26470588235294
"vi201027.007","Viruses",NA,2020-10-27,"NJ",4,0,"E_Conc",NA,NA,3442083.33333333,2753333.5349625,688749.798370836,28917500,24685570.1491686,3009610.6072274,1222319.243604,8.40116208691442,3.99758162031439
"vi201028.008","Viruses",NA,2020-10-28,"NJ",4,0,"E_WW",NA,NA,10129166.6666667,7303968.41673503,2825198.24993164,185337500,159570323.324385,18705477.6801178,7061698.99549706,18.2974084738791,2.58529411764706
"vi201027.008","Viruses",NA,2020-10-27,"NJ",5,0,"E_Conc",NA,NA,1493750,1145901.81058496,347848.189415042,33251666.6666667,28670498.4435282,4008831.90104813,572336.322090308,22.260529986053,3.29425837320574
"vi201028.009","Viruses",NA,2020-10-28,"NJ",5,0,"E_WW",NA,NA,4712500,3064367.31107206,1648132.68892794,176195833.333333,155107437.080473,18293162.5679955,2795233.68486446,37.3890362511052,1.85929648241206
"vi201027.009","Viruses",NA,2020-10-27,"NJ",6,0,"E_Conc",NA,NA,1412916.66666667,1057607.23400079,355309.432665881,29483333.3333333,25423806.6592054,3476294.53460175,583232.139526208,20.8670008846948,2.97658079625293
"vi201028.015","Viruses",NA,2020-10-28,"NJ",6,0,"E_WW",NA,NA,7804166.66666667,4978376.81931132,2825789.84735534,281308333.333333,247169415.063394,29099718.8749104,5039199.39502863,36.0459156433529,1.76176470588235
"vi201028.016","Viruses",NA,2020-10-28,"NJ",7,0,"E_WW",NA,NA,4262500,3201021.40077821,1061478.59922179,157475000,138674724.857188,16596731.04135,2203544.10146219,36.9442815249267,3.015625
